name,state,country,description,imageUrl,latitude,longitude
Delhi,India,India,Delhi is a popular travel destination in India.,delhi.jpg,0,0
Mumbai,India,India,Mumbai is a popular travel destination in India.,mumbai.jpg,0,0
Lonavala,India,India,Lonavala is a popular travel destination in India.,lonavala.jpg,0,0
Bangalore,India,India,Bangalore is a popular travel destination in India.,bangalore.jpg,0,0
Hyderabad,India,India,Hyderabad is a popular travel destination in India.,hyderabad.jpg,0,0
Kolkata,India,India,Kolkata is a popular travel destination in India.,kolkata.jpg,0,0
Goa,India,India,Goa is a popular travel destination in India.,goa.jpg,0,0
Ahmedabad,India,India,Ahmedabad is a popular travel destination in India.,ahmedabad.jpg,0,0
Dwarka,India,India,Dwarka is a popular travel destination in India.,dwarka.jpg,0,0
Junagadh,India,India,Junagadh is a popular travel destination in India.,junagadh.jpg,0,0
Bhuj,India,India,Bhuj is a popular travel destination in India.,bhuj.jpg,0,0
Vadodara,India,India,Vadodara is a popular travel destination in India.,vadodara.jpg,0,0
Somnath,India,India,Somnath is a popular travel destination in India.,somnath.jpg,0,0
Rann of Kutch,India,India,Rann of Kutch is a popular travel destination in India.,rann_of_kutch.jpg,0,0
Kevadia,India,India,Kevadia is a popular travel destination in India.,kevadia.jpg,0,0
Gandhinagar,India,India,Gandhinagar is a popular travel destination in India.,gandhinagar.jpg,0,0
Jaipur,India,India,Jaipur is a popular travel destination in India.,jaipur.jpg,0,0
Udaipur,India,India,Udaipur is a popular travel destination in India.,udaipur.jpg,0,0
Jaisalmer,India,India,Jaisalmer is a popular travel destination in India.,jaisalmer.jpg,0,0
Sawai Madhopur,India,India,Sawai Madhopur is a popular travel destination in India.,sawai_madhopur.jpg,0,0
Pushkar,India,India,Pushkar is a popular travel destination in India.,pushkar.jpg,0,0
Ajmer,India,India,Ajmer is a popular travel destination in India.,ajmer.jpg,0,0
Jodhpur,India,India,Jodhpur is a popular travel destination in India.,jodhpur.jpg,0,0
Chittorgarh,India,India,Chittorgarh is a popular travel destination in India.,chittorgarh.jpg,0,0
Mount Abu,India,India,Mount Abu is a popular travel destination in India.,mount_abu.jpg,0,0
Bikaner,India,India,Bikaner is a popular travel destination in India.,bikaner.jpg,0,0
Amritsar,India,India,Amritsar is a popular travel destination in India.,amritsar.jpg,0,0
Chandigarh,India,India,Chandigarh is a popular travel destination in India.,chandigarh.jpg,0,0
Alappuzha,India,India,Alappuzha is a popular travel destination in India.,alappuzha.jpg,0,0
Munnar,India,India,Munnar is a popular travel destination in India.,munnar.jpg,0,0
Kochi,India,India,Kochi is a popular travel destination in India.,kochi.jpg,0,0
Thiruvananthapuram,India,India,Thiruvananthapuram is a popular travel destination in India.,thiruvananthapuram.jpg,0,0
Kozhikode,India,India,Kozhikode is a popular travel destination in India.,kozhikode.jpg,0,0
Wayanad,India,India,Wayanad is a popular travel destination in India.,wayanad.jpg,0,0
Thekkady,India,India,Thekkady is a popular travel destination in India.,thekkady.jpg,0,0
Kumarakom,India,India,Kumarakom is a popular travel destination in India.,kumarakom.jpg,0,0
Varkala,India,India,Varkala is a popular travel destination in India.,varkala.jpg,0,0
Bekal,India,India,Bekal is a popular travel destination in India.,bekal.jpg,0,0
Kovalam,India,India,Kovalam is a popular travel destination in India.,kovalam.jpg,0,0
Kannur,India,India,Kannur is a popular travel destination in India.,kannur.jpg,0,0
Nelliyampathy,India,India,Nelliyampathy is a popular travel destination in India.,nelliyampathy.jpg,0,0
Mysore,India,India,Mysore is a popular travel destination in India.,mysore.jpg,0,0
Hampi,India,India,Hampi is a popular travel destination in India.,hampi.jpg,0,0
Coorg,India,India,Coorg is a popular travel destination in India.,coorg.jpg,0,0
Gokarna,India,India,Gokarna is a popular travel destination in India.,gokarna.jpg,0,0
Chikmagalur,India,India,Chikmagalur is a popular travel destination in India.,chikmagalur.jpg,0,0
Badami,India,India,Badami is a popular travel destination in India.,badami.jpg,0,0
Shivamogga,India,India,Shivamogga is a popular travel destination in India.,shivamogga.jpg,0,0
Mangalore,India,India,Mangalore is a popular travel destination in India.,mangalore.jpg,0,0
Murudeshwar,India,India,Murudeshwar is a popular travel destination in India.,murudeshwar.jpg,0,0
Bijapur,India,India,Bijapur is a popular travel destination in India.,bijapur.jpg,0,0
Bandipur,India,India,Bandipur is a popular travel destination in India.,bandipur.jpg,0,0
Halebidu,India,India,Halebidu is a popular travel destination in India.,halebidu.jpg,0,0
Pune,India,India,Pune is a popular travel destination in India.,pune.jpg,0,0
Aurangabad,India,India,Aurangabad is a popular travel destination in India.,aurangabad.jpg,0,0
Nashik,India,India,Nashik is a popular travel destination in India.,nashik.jpg,0,0
Shirdi,India,India,Shirdi is a popular travel destination in India.,shirdi.jpg,0,0
Alibaug,India,India,Alibaug is a popular travel destination in India.,alibaug.jpg,0,0
Ratnagiri,India,India,Ratnagiri is a popular travel destination in India.,ratnagiri.jpg,0,0
Nagpur,India,India,Nagpur is a popular travel destination in India.,nagpur.jpg,0,0
Kolhapur,India,India,Kolhapur is a popular travel destination in India.,kolhapur.jpg,0,0
Tarkarli,India,India,Tarkarli is a popular travel destination in India.,tarkarli.jpg,0,0
Satara,India,India,Satara is a popular travel destination in India.,satara.jpg,0,0
Matheran,India,India,Matheran is a popular travel destination in India.,matheran.jpg,0,0
Ajanta,India,India,Ajanta is a popular travel destination in India.,ajanta.jpg,0,0
Khajuraho,India,India,Khajuraho is a popular travel destination in India.,khajuraho.jpg,0,0
Bhopal,India,India,Bhopal is a popular travel destination in India.,bhopal.jpg,0,0
Indore,India,India,Indore is a popular travel destination in India.,indore.jpg,0,0
Gwalior,India,India,Gwalior is a popular travel destination in India.,gwalior.jpg,0,0
Ujjain,India,India,Ujjain is a popular travel destination in India.,ujjain.jpg,0,0
Jabalpur,India,India,Jabalpur is a popular travel destination in India.,jabalpur.jpg,0,0
Pachmarhi,India,India,Pachmarhi is a popular travel destination in India.,pachmarhi.jpg,0,0
Kanha,India,India,Kanha is a popular travel destination in India.,kanha.jpg,0,0
Bandhavgarh,India,India,Bandhavgarh is a popular travel destination in India.,bandhavgarh.jpg,0,0
Orchha,India,India,Orchha is a popular travel destination in India.,orchha.jpg,0,0
Mandu,India,India,Mandu is a popular travel destination in India.,mandu.jpg,0,0
Bhimbetka,India,India,Bhimbetka is a popular travel destination in India.,bhimbetka.jpg,0,0
Amarkantak,India,India,Amarkantak is a popular travel destination in India.,amarkantak.jpg,0,0
Chitrakoot,India,India,Chitrakoot is a popular travel destination in India.,chitrakoot.jpg,0,0
Shimla,India,India,Shimla is a popular travel destination in India.,shimla.jpg,0,0
Manali,India,India,Manali is a popular travel destination in India.,manali.jpg,0,0
dalhousie,India,India,dalhousie is a popular travel destination in India.,dalhousie.jpg,0,0
Dalhousie,India,India,Dalhousie is a popular travel destination in India.,dalhousie.jpg,0,0
Spiti Valley,India,India,Spiti Valley is a popular travel destination in India.,spiti_valley.jpg,0,0
Kullu,India,India,Kullu is a popular travel destination in India.,kullu.jpg,0,0
Chamba,India,India,Chamba is a popular travel destination in India.,chamba.jpg,0,0
Kinnaur,India,India,Kinnaur is a popular travel destination in India.,kinnaur.jpg,0,0
Kangra,India,India,Kangra is a popular travel destination in India.,kangra.jpg,0,0
Palampur,India,India,Palampur is a popular travel destination in India.,palampur.jpg,0,0
Mandi,India,India,Mandi is a popular travel destination in India.,mandi.jpg,0,0
Bir Billing,India,India,Bir Billing is a popular travel destination in India.,bir_billing.jpg,0,0
McLeod Ganj,India,India,McLeod Ganj is a popular travel destination in India.,mcleod_ganj.jpg,0,0
Manikaran,India,India,Manikaran is a popular travel destination in India.,manikaran.jpg,0,0
Narkanda,India,India,Narkanda is a popular travel destination in India.,narkanda.jpg,0,0
Barot,India,India,Barot is a popular travel destination in India.,barot.jpg,0,0
Shoja,India,India,Shoja is a popular travel destination in India.,shoja.jpg,0,0
Kufri,India,India,Kufri is a popular travel destination in India.,kufri.jpg,0,0
Nainital,India,India,Nainital is a popular travel destination in India.,nainital.jpg,0,0
Rishikesh,India,India,Rishikesh is a popular travel destination in India.,rishikesh.jpg,0,0
Haridwar,India,India,Haridwar is a popular travel destination in India.,haridwar.jpg,0,0
Dehradun,India,India,Dehradun is a popular travel destination in India.,dehradun.jpg,0,0
Mussoorie,India,India,Mussoorie is a popular travel destination in India.,mussoorie.jpg,0,0
Auli,India,India,Auli is a popular travel destination in India.,auli.jpg,0,0
Badrinath,India,India,Badrinath is a popular travel destination in India.,badrinath.jpg,0,0
Almora,India,India,Almora is a popular travel destination in India.,almora.jpg,0,0
Ranikhet,India,India,Ranikhet is a popular travel destination in India.,ranikhet.jpg,0,0
Jim Corbett,India,India,Jim Corbett is a popular travel destination in India.,jim_corbett.jpg,0,0
Uttarkashi,India,India,Uttarkashi is a popular travel destination in India.,uttarkashi.jpg,0,0
Chopta,India,India,Chopta is a popular travel destination in India.,chopta.jpg,0,0
Joshimath,India,India,Joshimath is a popular travel destination in India.,joshimath.jpg,0,0
Agra,India,India,Agra is a popular travel destination in India.,agra.jpg,0,0
Varanasi,India,India,Varanasi is a popular travel destination in India.,varanasi.jpg,0,0
Lucknow,India,India,Lucknow is a popular travel destination in India.,lucknow.jpg,0,0
Mathura,India,India,Mathura is a popular travel destination in India.,mathura.jpg,0,0
Ayodhya,India,India,Ayodhya is a popular travel destination in India.,ayodhya.jpg,0,0
Vrindavan,India,India,Vrindavan is a popular travel destination in India.,vrindavan.jpg,0,0
Allahabad,India,India,Allahabad is a popular travel destination in India.,allahabad.jpg,0,0
Jhansi,India,India,Jhansi is a popular travel destination in India.,jhansi.jpg,0,0
Sarnath,India,India,Sarnath is a popular travel destination in India.,sarnath.jpg,0,0
Fatehpur Sikri,India,India,Fatehpur Sikri is a popular travel destination in India.,fatehpur_sikri.jpg,0,0
Noida,India,India,Noida is a popular travel destination in India.,noida.jpg,0,0
Aligarh,India,India,Aligarh is a popular travel destination in India.,aligarh.jpg,0,0
Meerut,India,India,Meerut is a popular travel destination in India.,meerut.jpg,0,0
Kanpur,India,India,Kanpur is a popular travel destination in India.,kanpur.jpg,0,0
Srinagar,India,India,Srinagar is a popular travel destination in India.,srinagar.jpg,0,0
Leh,India,India,Leh is a popular travel destination in India.,leh.jpg,0,0
Pahalgam,India,India,Pahalgam is a popular travel destination in India.,pahalgam.jpg,0,0
Jammu,India,India,Jammu is a popular travel destination in India.,jammu.jpg,0,0
Udhampur,India,India,Udhampur is a popular travel destination in India.,udhampur.jpg,0,0
Anantnag,India,India,Anantnag is a popular travel destination in India.,anantnag.jpg,0,0
Nubra Valley,India,India,Nubra Valley is a popular travel destination in India.,nubra_valley.jpg,0,0
Kargil,India,India,Kargil is a popular travel destination in India.,kargil.jpg,0,0
Diskit,India,India,Diskit is a popular travel destination in India.,diskit.jpg,0,0
Kishtwar,India,India,Kishtwar is a popular travel destination in India.,kishtwar.jpg,0,0
Hemis,India,India,Hemis is a popular travel destination in India.,hemis.jpg,0,0
Dras,India,India,Dras is a popular travel destination in India.,dras.jpg,0,0
Porbandar,India,India,Porbandar is a popular travel destination in India.,porbandar.jpg,0,0
Darjeeling,India,India,Darjeeling is a popular travel destination in India.,darjeeling.jpg,0,0
Siliguri,India,India,Siliguri is a popular travel destination in India.,siliguri.jpg,0,0
Sundarbans,India,India,Sundarbans is a popular travel destination in India.,sundarbans.jpg,0,0
Digha,India,India,Digha is a popular travel destination in India.,digha.jpg,0,0
Murshidabad,India,India,Murshidabad is a popular travel destination in India.,murshidabad.jpg,0,0
Bolpur,India,India,Bolpur is a popular travel destination in India.,bolpur.jpg,0,0
Hooghly,India,India,Hooghly is a popular travel destination in India.,hooghly.jpg,0,0
Jalpaiguri,India,India,Jalpaiguri is a popular travel destination in India.,jalpaiguri.jpg,0,0
Cooch Behar,India,India,Cooch Behar is a popular travel destination in India.,cooch_behar.jpg,0,0
Purulia,India,India,Purulia is a popular travel destination in India.,purulia.jpg,0,0
Puri,India,India,Puri is a popular travel destination in India.,puri.jpg,0,0
Konark,India,India,Konark is a popular travel destination in India.,konark.jpg,0,0
Bhubaneswar,India,India,Bhubaneswar is a popular travel destination in India.,bhubaneswar.jpg,0,0
Rourkela,India,India,Rourkela is a popular travel destination in India.,rourkela.jpg,0,0
Cuttack,India,India,Cuttack is a popular travel destination in India.,cuttack.jpg,0,0
Sambalpur,India,India,Sambalpur is a popular travel destination in India.,sambalpur.jpg,0,0
Chilika,India,India,Chilika is a popular travel destination in India.,chilika.jpg,0,0
Berhampur,India,India,Berhampur is a popular travel destination in India.,berhampur.jpg,0,0
Keonjhar,India,India,Keonjhar is a popular travel destination in India.,keonjhar.jpg,0,0
Balasore,India,India,Balasore is a popular travel destination in India.,balasore.jpg,0,0
Kendujhar,India,India,Kendujhar is a popular travel destination in India.,kendujhar.jpg,0,0
Chennai,India,India,Chennai is a popular travel destination in India.,chennai.jpg,0,0
Madurai,India,India,Madurai is a popular travel destination in India.,madurai.jpg,0,0
Rameswaram,India,India,Rameswaram is a popular travel destination in India.,rameswaram.jpg,0,0
Kanyakumari,India,India,Kanyakumari is a popular travel destination in India.,kanyakumari.jpg,0,0
Ooty,India,India,Ooty is a popular travel destination in India.,ooty.jpg,0,0
Coimbatore,India,India,Coimbatore is a popular travel destination in India.,coimbatore.jpg,0,0
Kodaikanal,India,India,Kodaikanal is a popular travel destination in India.,kodaikanal.jpg,0,0
Thanjavur,India,India,Thanjavur is a popular travel destination in India.,thanjavur.jpg,0,0
Mahabalipuram,India,India,Mahabalipuram is a popular travel destination in India.,mahabalipuram.jpg,0,0
Yercaud,India,India,Yercaud is a popular travel destination in India.,yercaud.jpg,0,0
Tirunelveli,India,India,Tirunelveli is a popular travel destination in India.,tirunelveli.jpg,0,0
Chidambaram,India,India,Chidambaram is a popular travel destination in India.,chidambaram.jpg,0,0
Vijayawada,India,India,Vijayawada is a popular travel destination in India.,vijayawada.jpg,0,0
Visakhapatnam,India,India,Visakhapatnam is a popular travel destination in India.,visakhapatnam.jpg,0,0
Srisailam,India,India,Srisailam is a popular travel destination in India.,srisailam.jpg,0,0
Rajahmundry,India,India,Rajahmundry is a popular travel destination in India.,rajahmundry.jpg,0,0
Anantapur,India,India,Anantapur is a popular travel destination in India.,anantapur.jpg,0,0
Kurnool,India,India,Kurnool is a popular travel destination in India.,kurnool.jpg,0,0
Amravati,India,India,Amravati is a popular travel destination in India.,amravati.jpg,0,0
Guntur,India,India,Guntur is a popular travel destination in India.,guntur.jpg,0,0
Kadapa,India,India,Kadapa is a popular travel destination in India.,kadapa.jpg,0,0
Puttaparthi,India,India,Puttaparthi is a popular travel destination in India.,puttaparthi.jpg,0,0
Vizianagaram,India,India,Vizianagaram is a popular travel destination in India.,vizianagaram.jpg,0,0
Gangtok,India,India,Gangtok is a popular travel destination in India.,gangtok.jpg,0,0
Pelling,India,India,Pelling is a popular travel destination in India.,pelling.jpg,0,0
Namchi,India,India,Namchi is a popular travel destination in India.,namchi.jpg,0,0
Ravangla,India,India,Ravangla is a popular travel destination in India.,ravangla.jpg,0,0
Guwahati,India,India,Guwahati is a popular travel destination in India.,guwahati.jpg,0,0
Kaziranga,India,India,Kaziranga is a popular travel destination in India.,kaziranga.jpg,0,0
Sivasagar,India,India,Sivasagar is a popular travel destination in India.,sivasagar.jpg,0,0
Majuli,India,India,Majuli is a popular travel destination in India.,majuli.jpg,0,0
Manas,India,India,Manas is a popular travel destination in India.,manas.jpg,0,0
Hajo,India,India,Hajo is a popular travel destination in India.,hajo.jpg,0,0
Tawang,India,India,Tawang is a popular travel destination in India.,tawang.jpg,0,0
Agartala,India,India,Agartala is a popular travel destination in India.,agartala.jpg,0,0
Dumboor,India,India,Dumboor is a popular travel destination in India.,dumboor.jpg,0,0
Unakoti,India,India,Unakoti is a popular travel destination in India.,unakoti.jpg,0,0
Bastar,India,India,Bastar is a popular travel destination in India.,bastar.jpg,0,0
Dzükou Valley,India,India,Dzükou Valley is a popular travel destination in India.,dzükou_valley.jpg,0,0
Puducherry,India,India,Puducherry is a popular travel destination in India.,puducherry.jpg,0,0
Auroville,India,India,Auroville is a popular travel destination in India.,auroville.jpg,0,0
Port Blair,India,India,Port Blair is a popular travel destination in India.,port_blair.jpg,0,0
Havelock Island,India,India,Havelock Island is a popular travel destination in India.,havelock_island.jpg,0,0
Neil Island,India,India,Neil Island is a popular travel destination in India.,neil_island.jpg,0,0
Baratang Island,India,India,Baratang Island is a popular travel destination in India.,baratang_island.jpg,0,0
Diu,India,India,Diu is a popular travel destination in India.,diu.jpg,0,0
Deoghar,India,India,Deoghar is a popular travel destination in India.,deoghar.jpg,0,0
Ranchi,India,India,Ranchi is a popular travel destination in India.,ranchi.jpg,0,0
Bodh Gaya,India,India,Bodh Gaya is a popular travel destination in India.,bodh_gaya.jpg,0,0
Patna,India,India,Patna is a popular travel destination in India.,patna.jpg,0,0
Gurugram,India,India,Gurugram is a popular travel destination in India.,gurugram.jpg,0,0
New Delhi,India,India,New Delhi is a popular travel destination in India.,new_delhi.jpg,0,0
Kedarnath,India,India,Kedarnath is a popular travel destination in India.,kedarnath.jpg,0,0
Greater Noida,India,India,Greater Noida is a popular travel destination in India.,greater_noida.jpg,0,0
Bengaluru,India,India,Bengaluru is a popular travel destination in India.,bengaluru.jpg,0,0
Cherrapunji,India,India,Cherrapunji is a popular travel destination in India.,cherrapunji.jpg,0,0
Alleppey,India,India,Alleppey is a popular travel destination in India.,alleppey.jpg,0,0
Alibag,India,India,Alibag is a popular travel destination in India.,alibag.jpg,0,0
Alīgarh,India,India,Alīgarh is a popular travel destination in India.,alīgarh.jpg,0,0
Alwar,India,India,Alwar is a popular travel destination in India.,alwar.jpg,0,0
Anand,India,India,Anand is a popular travel destination in India.,anand.jpg,0,0
Pālanpur,India,India,Pālanpur is a popular travel destination in India.,pālanpur.jpg,0,0
Dīsa,India,India,Dīsa is a popular travel destination in India.,dīsa.jpg,0,0
Ābu Road,India,India,Ābu Road is a popular travel destination in India.,ābu_road.jpg,0,0
Mount Ābu,India,India,Mount Ābu is a popular travel destination in India.,mount_ābu.jpg,0,0
Bharbharia,India,India,Bharbharia is a popular travel destination in India.,bharbharia.jpg,0,0
Banjār,India,India,Banjār is a popular travel destination in India.,banjār.jpg,0,0
Bareilly,India,India,Bareilly is a popular travel destination in India.,bareilly.jpg,0,0
Surat,India,India,Surat is a popular travel destination in India.,surat.jpg,0,0
Chandīgarh,India,India,Chandīgarh is a popular travel destination in India.,chandīgarh.jpg,0,0
Kānpur,India,India,Kānpur is a popular travel destination in India.,kānpur.jpg,0,0
Cochin,India,India,Cochin is a popular travel destination in India.,cochin.jpg,0,0
